conversation_id,customer_text,brand_reply_text,created_at,brand,customer_text_clean
100022,"@AmazonHelp Unbelievable negligence. Damaged goods, ruined anniversary, zero accountability from your team.",We sincerely apologize for this distressing experience. This is certainly not the level of service we aim to provide. Please DM us immediately so a senior specialist can assist.,Wed Oct 25 14:52:00 +0000 2017,AmazonHelp,"unbelievable negligence. damaged goods, ruined anniversary, zero accountability from your team."
100024,@AmazonHelp Tracking status says delivery attempted but nobody buzzed or knocked. Order #586-3770370-5446912.,We understand your concern regarding order #586-3770370-5446912. Please drop us a DM with your tracking link and postal code so we can check with the carrier.,Tue Oct 24 22:20:00 +0000 2017,AmazonHelp,tracking status says delivery attempted but nobody buzzed or knocked. order order number .
100026,@AmazonHelp My tracking says delivered but I have not received anything for order #330-2074176-6672134!,"Hi there, we're sorry to hear your order #330-2074176-6672134 is delayed! Please send us a DM at amzn.to/help with your details so we can investigate.",Wed Oct 04 10:38:00 +0000 2017,AmazonHelp,my tracking says delivered but i have not received anything for order order number !
100028,@AmazonHelp Does this product come with a power adapter or do I need to buy it separately?,Hello! Most electronics purchased from authorized sellers include standard warranty. Please DM us the product ASIN to check details.,Sun Oct 22 21:37:00 +0000 2017,AmazonHelp,does this product come with a power adapter or do i need to buy it separately?
100030,"@AmazonHelp Where is my package? Order #199-8231838-6944126 was supposed to arrive yesterday, still nothing!",So sorry for the delay on #199-8231838-6944126! Please DM us your order details and we will check the transit status directly for you.,Mon Oct 16 19:37:00 +0000 2017,AmazonHelp,"where is my package? order order number was supposed to arrive yesterday, still nothing!"
100032,@AmazonHelp Carrier marked order #294-9997381-8526486 as delivered at front door but there is no package anywhere.,"Hi there, we're sorry to hear your order #294-9997381-8526486 is delayed! Please send us a DM at amzn.to/help with your details so we can investigate.",Thu Oct 26 10:07:00 +0000 2017,AmazonHelp,carrier marked order order number as delivered at front door but there is no package anywhere.
100034,@AmazonHelp Can someone check on order #653-1247595-2564689? It's a birthday gift and now it's late.,"Hello! We apologize for the delivery issue with #653-1247595-2564689. Please check around your porch/neighbors, and if still missing, DM us your account email.",Wed Oct 04 01:03:00 +0000 2017,AmazonHelp,can someone check on order order number ? it's a birthday gift and now it's late.
100036,"@AmazonHelp Received broken item in order #499-5449368-8633773. I want my money back, not a replacement.",Hi! We want to help get this sorted. Please send us a direct message with order #499-5449368-8633773 and return tracking number so we can verify with our billing team.,Wed Oct 04 00:53:00 +0000 2017,AmazonHelp,"received broken item in order order number . i want my money back, not a replacement."
100038,@AmazonHelp Website gives error 500 internal server error when trying to view my order history.,We apologize for the technical glitch! Our technical team is monitoring site stability. Please send us a DM with a screenshot if the error continues.,Sat Oct 28 10:57:00 +0000 2017,AmazonHelp,website gives error 500 internal server error when trying to view my order history.
100040,@AmazonHelp Just noticed an unauthorized charge of $242.49 for Prime membership that I never authorized.,"Sorry for the unexpected charge! If you did not intend to renew Prime, please DM us your email and we can help reverse eligible fees.",Fri Oct 27 22:32:00 +0000 2017,AmazonHelp,just noticed an unauthorized charge of currency amount for prime membership that i never authorized.
100042,"@AmazonHelp Help! Account locked due to too many failed attempts, how do I unlock it?","Hello! If you suspect unauthorized access, please visit amzn.to/security immediately. You can also DM us your associated phone or email.",Wed Oct 04 16:15:00 +0000 2017,AmazonHelp,"help! account locked due to too many failed attempts, how do i unlock it?"
100044,@AmazonHelp Lost access to my old phone number and now 2FA won't let me log into my account.,"Hi! For your security, please don't share passwords publicly. Please visit amzn.to/account-recovery or DM us to begin identity verification.",Wed Oct 18 04:38:00 +0000 2017,AmazonHelp,lost access to my old phone number and now 2fa won't let me log into my account.
100046,@AmazonHelp Package #953-6075395-9874152 has been stuck in transit in transit hub for over 48 hours. What gives?,"Hi there, we're sorry to hear your order #953-6075395-9874152 is delayed! Please send us a DM at amzn.to/help with your details so we can investigate.",Thu Oct 26 13:17:00 +0000 2017,AmazonHelp,package order number has been stuck in transit in transit hub for over 48 hours. what gives?
100048,@AmazonHelp I returned item on order #719-4533779-6752576 over a week ago and still haven't received my refund.,"Hello! Once an item is received at our fulfillment center, refunds usually take 3-5 business days. Please DM us your order #719-4533779-6752576 to check status.",Fri Oct 20 15:40:00 +0000 2017,AmazonHelp,i returned item on order order number over a week ago and still haven't received my refund.
100050,"@AmazonHelp Where is my package? Order #441-3194789-5394880 was supposed to arrive last week, still nothing!","Hi there, we're sorry to hear your order #441-3194789-5394880 is delayed! Please send us a DM at amzn.to/help with your details so we can investigate.",Sun Oct 08 03:49:00 +0000 2017,AmazonHelp,"where is my package? order order number was supposed to arrive last week, still nothing!"
100052,@AmazonHelp Ordered express next-day delivery on #478-3484601-8210624 and it still hasn't shipped!,"Hello! We apologize for the delivery issue with #478-3484601-8210624. Please check around your porch/neighbors, and if still missing, DM us your account email.",Thu Oct 12 17:34:00 +0000 2017,AmazonHelp,ordered express next-day delivery on order number and it still hasn't shipped!
100054,"@AmazonHelp Where is my package? Order #898-7817881-3592974 was supposed to arrive on Friday, still nothing!","Hello! We apologize for the delivery issue with #898-7817881-3592974. Please check around your porch/neighbors, and if still missing, DM us your account email.",Mon Oct 16 11:51:00 +0000 2017,AmazonHelp,"where is my package? order order number was supposed to arrive on friday, still nothing!"
100056,@AmazonHelp What is the return window for holiday purchases made in November?,Hello! Most electronics purchased from authorized sellers include standard warranty. Please DM us the product ASIN to check details.,Sun Oct 22 07:47:00 +0000 2017,AmazonHelp,what is the return window for holiday purchases made in november?
100058,@AmazonHelp Please cancel my order #914-4818418-4740036 and process a full refund immediately.,Hi! We want to help get this sorted. Please send us a direct message with order #914-4818418-4740036 and return tracking number so we can verify with our billing team.,Tue Oct 24 13:25:00 +0000 2017,AmazonHelp,please cancel my order order number and process a full refund immediately.
100060,@AmazonHelp Can you explain the invoice breakdown for #963-9996207-6555772? There's an extra charge of $22.00.,Hi! We'd be glad to look into this charge for you. Please send us a DM with the date and amount so we can locate the transaction securely.,Sat Oct 28 12:37:00 +0000 2017,AmazonHelp,can you explain the invoice breakdown for order number ? there's an extra charge of currency amount .
100062,@AmazonHelp I returned item on order #905-6262632-8321474 over a week ago and still haven't received my refund.,Apologies for the inconvenience! Please DM us your account details so we can check on return #905-6262632-8321474 and expedite your refund.,Wed Oct 25 00:54:00 +0000 2017,AmazonHelp,i returned item on order order number over a week ago and still haven't received my refund.
100064,@AmazonHelp Payment declined on my card even though there are sufficient funds available.,Hi! We'd be glad to look into this charge for you. Please send us a DM with the date and amount so we can locate the transaction securely.,Sun Oct 15 01:02:00 +0000 2017,AmazonHelp,payment declined on my card even though there are sufficient funds available.
100066,@AmazonHelp Charged for an item I sent back last Monday. When will my refund of $193.99 arrive?,Apologies for the inconvenience! Please DM us your account details so we can check on return #518-6472441-7751158 and expedite your refund.,Mon Oct 09 07:06:00 +0000 2017,AmazonHelp,charged for an item i sent back last monday. when will my refund of currency amount arrive?
100068,@AmazonHelp You guys billed me twice on the same day for order #515-1006810-6098175. Please fix this duplicate charge.,"Sorry for the unexpected charge! If you did not intend to renew Prime, please DM us your email and we can help reverse eligible fees.",Wed Oct 11 02:26:00 +0000 2017,AmazonHelp,you guys billed me twice on the same day for order order number . please fix this duplicate charge.
100070,"@AmazonHelp Two-factor authentication is failing, says invalid token even though it's correct.",We're sorry you're having trouble accessing your account. Please send us a DM so we can securely guide you through the two-step verification reset.,Mon Oct 02 11:41:00 +0000 2017,AmazonHelp,"two-factor authentication is failing, says invalid token even though it's correct."
100072,@AmazonHelp Tracking status says delivery attempted but nobody buzzed or knocked. Order #586-2221854-8640615.,"Hello! We apologize for the delivery issue with #586-2221854-8640615. Please check around your porch/neighbors, and if still missing, DM us your account email.",Sun Oct 01 15:04:00 +0000 2017,AmazonHelp,tracking status says delivery attempted but nobody buzzed or knocked. order order number .
100074,@AmazonHelp Checkout page freezes when selecting saved shipping address.,We apologize for the technical glitch! Our technical team is monitoring site stability. Please send us a DM with a screenshot if the error continues.,Sun Oct 22 12:31:00 +0000 2017,AmazonHelp,checkout page freezes when selecting saved shipping address.
100076,"@AmazonHelp Help! Account locked due to too many failed attempts, how do I unlock it?","Hi there, please ensure SMS isn't blocked by your carrier, or try clearing browser cache. If the issue persists, send us a DM.",Thu Oct 12 15:04:00 +0000 2017,AmazonHelp,"help! account locked due to too many failed attempts, how do i unlock it?"
100078,@AmazonHelp How long does it take for a refund to process to my original payment method for return #896-9745959-9130188?,We're sorry for the delay in your refund! Please reach out to us in DM with order #896-9745959-9130188 and your email address so we can review the return.,Mon Oct 16 15:51:00 +0000 2017,AmazonHelp,how long does it take for a refund to process to my original payment method for return order number ?
100080,@AmazonHelp This is completely unacceptable. I want to speak to a supervisor or corporate manager right now!,This is definitely not the experience we want for our customers. Please reach out in DM with your contact information so an escalation manager can connect with you.,Mon Oct 16 10:25:00 +0000 2017,AmazonHelp,this is completely unacceptable. i want to speak to a supervisor or corporate manager right now!
100082,@AmazonHelp Locked out of my account. The OTP verification code is not being sent to my phone.,"Hello! If you suspect unauthorized access, please visit amzn.to/security immediately. You can also DM us your associated phone or email.",Thu Oct 19 02:59:00 +0000 2017,AmazonHelp,locked out of my account. the otp verification code is not being sent to my phone.
100084,"@AmazonHelp Every time I try to log in, it loops back to the login screen without an error message.","Hello! If you suspect unauthorized access, please visit amzn.to/security immediately. You can also DM us your associated phone or email.",Thu Oct 19 18:38:00 +0000 2017,AmazonHelp,"every time i try to log in, it loops back to the login screen without an error message."
100086,@AmazonHelp Are recyclable packaging options available for fragile items?,Hello! Most electronics purchased from authorized sellers include standard warranty. Please DM us the product ASIN to check details.,Mon Oct 09 15:30:00 +0000 2017,AmazonHelp,are recyclable packaging options available for fragile items?
100088,@AmazonHelp Charged for an item I sent back last Monday. When will my refund of $98.99 arrive?,Hi! We want to help get this sorted. Please send us a direct message with order #435-4551070-8628588 and return tracking number so we can verify with our billing team.,Thu Oct 05 02:28:00 +0000 2017,AmazonHelp,charged for an item i sent back last monday. when will my refund of currency amount arrive?
100090,@AmazonHelp Carrier marked order #652-1873851-6871360 as delivered at front door but there is no package anywhere.,"Hello! We apologize for the delivery issue with #652-1873851-6871360. Please check around your porch/neighbors, and if still missing, DM us your account email.",Mon Oct 02 07:16:00 +0000 2017,AmazonHelp,carrier marked order order number as delivered at front door but there is no package anywhere.
100092,@AmazonHelp shipment #229-8945036-2919136 is delayed by 3 days already. Any update on when it will arrive?,"Hi there, we're sorry to hear your order #229-8945036-2919136 is delayed! Please send us a DM at amzn.to/help with your details so we can investigate.",Sun Oct 08 19:53:00 +0000 2017,AmazonHelp,shipment order number is delayed by 3 days already. any update on when it will arrive?
100094,@AmazonHelp Package #126-6233774-7296605 has been stuck in transit in transit hub for over 48 hours. What gives?,"Hi there, we're sorry to hear your order #126-6233774-7296605 is delayed! Please send us a DM at amzn.to/help with your details so we can investigate.",Fri Oct 27 03:09:00 +0000 2017,AmazonHelp,package order number has been stuck in transit in transit hub for over 48 hours. what gives?
100096,@AmazonHelp Please cancel my order #538-7217147-2156902 and process a full refund immediately.,Apologies for the inconvenience! Please DM us your account details so we can check on return #538-7217147-2156902 and expedite your refund.,Sun Oct 22 07:10:00 +0000 2017,AmazonHelp,please cancel my order order number and process a full refund immediately.
100098,@AmazonHelp How long does it take for a refund to process to my original payment method for return #851-9753457-5531230?,Hi! We want to help get this sorted. Please send us a direct message with order #851-9753457-5531230 and return tracking number so we can verify with our billing team.,Thu Oct 12 13:09:00 +0000 2017,AmazonHelp,how long does it take for a refund to process to my original payment method for return order number ?
100100,@AmazonHelp Return status says received at warehouse but refund not initiated for #561-5091349-8796514. Please help.,We're sorry for the delay in your refund! Please reach out to us in DM with order #561-5091349-8796514 and your email address so we can review the return.,Wed Oct 11 00:42:00 +0000 2017,AmazonHelp,return status says received at warehouse but refund not initiated for order number . please help.
100102,"@AmazonHelp The mobile app is not loading product images, just showing blank white boxes.",We're sorry for the app crash. Please ensure you are running the latest app update. DM us if you need further technical troubleshooting.,Thu Oct 26 15:25:00 +0000 2017,AmazonHelp,"the mobile app is not loading product images, just showing blank white boxes."
100104,"@AmazonHelp Charged $217.00 annual subscription fee by mistake, please reverse this charge.","Hello, duplicate charges are often pending authorizations that drop off in 2-3 business days. Please DM us your order #761-9234615-8519121 to confirm.",Fri Oct 27 20:13:00 +0000 2017,AmazonHelp,"charged currency amount annual subscription fee by mistake, please reverse this charge."
100106,@AmazonHelp Unable to sign in to my account from my new laptop. Says suspicious activity detected.,"Hello! If you suspect unauthorized access, please visit amzn.to/security immediately. You can also DM us your associated phone or email.",Fri Oct 06 20:48:00 +0000 2017,AmazonHelp,unable to sign in to my account from my new laptop. says suspicious activity detected.
100108,@AmazonHelp How long does it take for a refund to process to my original payment method for return #860-9990305-4106298?,"Hello! Once an item is received at our fulfillment center, refunds usually take 3-5 business days. Please DM us your order #860-9990305-4106298 to check status.",Tue Oct 10 05:02:00 +0000 2017,AmazonHelp,how long does it take for a refund to process to my original payment method for return order number ?
100110,@AmazonHelp Package #283-6071208-1237370 has been stuck in transit in transit hub for over 48 hours. What gives?,"Hello! We apologize for the delivery issue with #283-6071208-1237370. Please check around your porch/neighbors, and if still missing, DM us your account email.",Mon Oct 23 17:11:00 +0000 2017,AmazonHelp,package order number has been stuck in transit in transit hub for over 48 hours. what gives?
100112,@AmazonHelp Do you offer student discounts on annual Prime memberships?,"Hello! Our standard return policy is 30 days, but extended holiday return windows often apply. Let us know if you have a specific item in mind!",Wed Oct 04 08:23:00 +0000 2017,AmazonHelp,do you offer student discounts on annual prime memberships?
100114,"@AmazonHelp Every time I try to log in, it loops back to the login screen without an error message.",We're sorry you're having trouble accessing your account. Please send us a DM so we can securely guide you through the two-step verification reset.,Wed Oct 25 03:48:00 +0000 2017,AmazonHelp,"every time i try to log in, it loops back to the login screen without an error message."
100116,"@AmazonHelp Two-factor authentication is failing, says invalid token even though it's correct.","Hello! If you suspect unauthorized access, please visit amzn.to/security immediately. You can also DM us your associated phone or email.",Thu Oct 05 01:41:00 +0000 2017,AmazonHelp,"two-factor authentication is failing, says invalid token even though it's correct."
100118,"@AmazonHelp Where is my package? Order #665-2259379-3626181 was supposed to arrive this morning, still nothing!","Hello! We apologize for the delivery issue with #665-2259379-3626181. Please check around your porch/neighbors, and if still missing, DM us your account email.",Sat Oct 14 05:49:00 +0000 2017,AmazonHelp,"where is my package? order order number was supposed to arrive this morning, still nothing!"
100120,@AmazonHelp Package #339-5438490-4318855 has been stuck in transit in transit hub for over 48 hours. What gives?,"Hello! We apologize for the delivery issue with #339-5438490-4318855. Please check around your porch/neighbors, and if still missing, DM us your account email.",Wed Oct 04 02:09:00 +0000 2017,AmazonHelp,package order number has been stuck in transit in transit hub for over 48 hours. what gives?
100122,@AmazonHelp Getting 'An unexpected error occurred' whenever I try to add items to my shopping cart.,We're sorry for the app crash. Please ensure you are running the latest app update. DM us if you need further technical troubleshooting.,Thu Oct 05 00:52:00 +0000 2017,AmazonHelp,getting 'an unexpected error occurred' whenever i try to add items to my shopping cart.
100124,"@AmazonHelp Where is my package? Order #542-6407658-5200476 was supposed to arrive this morning, still nothing!","Hello! We apologize for the delivery issue with #542-6407658-5200476. Please check around your porch/neighbors, and if still missing, DM us your account email.",Tue Oct 24 23:51:00 +0000 2017,AmazonHelp,"where is my package? order order number was supposed to arrive this morning, still nothing!"
100126,"@AmazonHelp Every time I try to log in, it loops back to the login screen without an error message.","Hello! If you suspect unauthorized access, please visit amzn.to/security immediately. You can also DM us your associated phone or email.",Fri Oct 06 03:16:00 +0000 2017,AmazonHelp,"every time i try to log in, it loops back to the login screen without an error message."
100128,@AmazonHelp Please cancel my order #810-9312590-5835492 and process a full refund immediately.,Hi! We want to help get this sorted. Please send us a direct message with order #810-9312590-5835492 and return tracking number so we can verify with our billing team.,Mon Oct 16 02:07:00 +0000 2017,AmazonHelp,please cancel my order order number and process a full refund immediately.
100130,@AmazonHelp Amazon customer service never disappoints. Replaced my broken item with no hassle. Thanks!,Hearing this makes our day! Thank you for your feedback and support. We're always here to help!,Sat Oct 21 11:50:00 +0000 2017,AmazonHelp,amazon customer service never disappoints. replaced my broken item with no hassle. thanks!
100132,@AmazonHelp Carrier marked order #662-3198037-5832327 as delivered at front door but there is no package anywhere.,"Hello! We apologize for the delivery issue with #662-3198037-5832327. Please check around your porch/neighbors, and if still missing, DM us your account email.",Thu Oct 26 10:40:00 +0000 2017,AmazonHelp,carrier marked order order number as delivered at front door but there is no package anywhere.
100134,@AmazonHelp Unable to sign in to my account from my new laptop. Says suspicious activity detected.,"Hello! If you suspect unauthorized access, please visit amzn.to/security immediately. You can also DM us your associated phone or email.",Mon Oct 23 08:02:00 +0000 2017,AmazonHelp,unable to sign in to my account from my new laptop. says suspicious activity detected.
100136,@AmazonHelp Ordered express next-day delivery on #664-3426689-7435505 and it still hasn't shipped!,We understand your concern regarding order #664-3426689-7435505. Please drop us a DM with your tracking link and postal code so we can check with the carrier.,Sun Oct 01 11:49:00 +0000 2017,AmazonHelp,ordered express next-day delivery on order number and it still hasn't shipped!
100138,"@AmazonHelp Wishlist won't let me remove deleted items, says 'Failed to update wishlist'.",We're sorry for the app crash. Please ensure you are running the latest app update. DM us if you need further technical troubleshooting.,Mon Oct 09 23:04:00 +0000 2017,AmazonHelp,"wishlist won't let me remove deleted items, says 'failed to update wishlist'."
100140,@AmazonHelp Why was my credit card charged $96.50 when my order total was only $27.99?,"Sorry for the unexpected charge! If you did not intend to renew Prime, please DM us your email and we can help reverse eligible fees.",Sat Oct 07 02:54:00 +0000 2017,AmazonHelp,why was my credit card charged currency amount when my order total was only currency amount ?
100142,@AmazonHelp Incredible customer support experience today. Truly appreciate how fast my issue was handled.,Thank you so much for the kind words! We love hearing this and will pass your compliments along to the team. Have a wonderful day!,Fri Oct 13 10:29:00 +0000 2017,AmazonHelp,incredible customer support experience today. truly appreciate how fast my issue was handled.
100144,@AmazonHelp I was charged $233.50 twice for order #507-2347467-6512415. Please check your billing system.,Hi! We'd be glad to look into this charge for you. Please send us a DM with the date and amount so we can locate the transaction securely.,Sat Oct 14 10:54:00 +0000 2017,AmazonHelp,i was charged currency amount twice for order order number . please check your billing system.
100146,@AmazonHelp Your iOS app keeps crashing every time I tap the checkout button. Version 18.2.,"Hello! Please try accessing the site in an incognito window or restarting your device. If the bug persists, DM us your app version and device model.",Tue Oct 03 22:18:00 +0000 2017,AmazonHelp,your ios app keeps crashing every time i tap the checkout button. version 18.2.
100148,@AmazonHelp I was told my refund of $150.50 for order #541-3442255-5096953 would be in my account in 3-5 days. It's been 10 days.,"Hello! Once an item is received at our fulfillment center, refunds usually take 3-5 business days. Please DM us your order #541-3442255-5096953 to check status.",Wed Oct 18 18:51:00 +0000 2017,AmazonHelp,i was told my refund of currency amount for order order number would be in my account in 3-5 days. it's been 10 days.
100150,@AmazonHelp You guys billed me twice on the same day for order #609-3401116-4895475. Please fix this duplicate charge.,We apologize for the billing confusion. Please reach out via DM with the last 4 digits of the card and transaction date so we can inspect.,Thu Oct 26 06:02:00 +0000 2017,AmazonHelp,you guys billed me twice on the same day for order order number . please fix this duplicate charge.
100152,@AmazonHelp Tracking status says delivery attempted but nobody buzzed or knocked. Order #453-6018975-8118722.,So sorry for the delay on #453-6018975-8118722! Please DM us your order details and we will check the transit status directly for you.,Thu Oct 12 04:06:00 +0000 2017,AmazonHelp,tracking status says delivery attempted but nobody buzzed or knocked. order order number .
100154,@AmazonHelp I was charged $20.50 twice for order #688-5963914-5953150. Please check your billing system.,"Sorry for the unexpected charge! If you did not intend to renew Prime, please DM us your email and we can help reverse eligible fees.",Sat Oct 14 09:37:00 +0000 2017,AmazonHelp,i was charged currency amount twice for order order number . please check your billing system.
100156,@AmazonHelp I was charged $173.99 twice for order #460-4674286-4189885. Please check your billing system.,We apologize for the billing confusion. Please reach out via DM with the last 4 digits of the card and transaction date so we can inspect.,Sat Oct 21 10:30:00 +0000 2017,AmazonHelp,i was charged currency amount twice for order order number . please check your billing system.
100158,@AmazonHelp My subscription auto-renewed even though I turned off auto-renew last week!,"Hello, duplicate charges are often pending authorizations that drop off in 2-3 business days. Please DM us your order #849-3204724-2512187 to confirm.",Wed Oct 25 22:11:00 +0000 2017,AmazonHelp,my subscription auto-renewed even though i turned off auto-renew last week!
100160,@AmazonHelp I forgot my password and the password reset link is never arriving in my inbox.,"Hi there, please ensure SMS isn't blocked by your carrier, or try clearing browser cache. If the issue persists, send us a DM.",Sat Oct 07 18:45:00 +0000 2017,AmazonHelp,i forgot my password and the password reset link is never arriving in my inbox.
100162,@AmazonHelp Is the manufacturer warranty valid if I buy an electronic item through third party sellers?,"Hello! Our standard return policy is 30 days, but extended holiday return windows often apply. Let us know if you have a specific item in mind!",Fri Oct 13 07:22:00 +0000 2017,AmazonHelp,is the manufacturer warranty valid if i buy an electronic item through third party sellers?
100164,@AmazonHelp Return status says received at warehouse but refund not initiated for #753-7232293-2817745. Please help.,We're sorry for the delay in your refund! Please reach out to us in DM with order #753-7232293-2817745 and your email address so we can review the return.,Wed Oct 04 06:03:00 +0000 2017,AmazonHelp,return status says received at warehouse but refund not initiated for order number . please help.
100166,@AmazonHelp Does this product come with a power adapter or do I need to buy it separately?,Hi! You can check international shipping options and estimated import duties at checkout or by visiting amzn.to/shipping-rates.,Thu Oct 12 01:28:00 +0000 2017,AmazonHelp,does this product come with a power adapter or do i need to buy it separately?
100168,@AmazonHelp Tracking status says delivery attempted but nobody buzzed or knocked. Order #564-7224540-8031780.,We understand your concern regarding order #564-7224540-8031780. Please drop us a DM with your tracking link and postal code so we can check with the carrier.,Wed Oct 18 05:44:00 +0000 2017,AmazonHelp,tracking status says delivery attempted but nobody buzzed or knocked. order order number .
100170,"@AmazonHelp Every time I try to log in, it loops back to the login screen without an error message.","Hello! If you suspect unauthorized access, please visit amzn.to/security immediately. You can also DM us your associated phone or email.",Fri Oct 06 22:26:00 +0000 2017,AmazonHelp,"every time i try to log in, it loops back to the login screen without an error message."
100172,@AmazonHelp Carrier marked order #317-1358318-1848566 as delivered at front door but there is no package anywhere.,"Hi there, we're sorry to hear your order #317-1358318-1848566 is delayed! Please send us a DM at amzn.to/help with your details so we can investigate.",Thu Oct 26 14:21:00 +0000 2017,AmazonHelp,carrier marked order order number as delivered at front door but there is no package anywhere.
100174,@AmazonHelp Why was my credit card charged $213.49 when my order total was only $30.00?,"Hello, duplicate charges are often pending authorizations that drop off in 2-3 business days. Please DM us your order #932-4909069-6512314 to confirm.",Thu Oct 12 18:47:00 +0000 2017,AmazonHelp,why was my credit card charged currency amount when my order total was only currency amount ?
100176,@AmazonHelp Ordered express next-day delivery on #987-1432519-3211291 and it still hasn't shipped!,"Hi there, we're sorry to hear your order #987-1432519-3211291 is delayed! Please send us a DM at amzn.to/help with your details so we can investigate.",Fri Oct 13 10:52:00 +0000 2017,AmazonHelp,ordered express next-day delivery on order number and it still hasn't shipped!
100178,@AmazonHelp My tracking says delivered but I have not received anything for order #531-9826250-2906718!,So sorry for the delay on #531-9826250-2906718! Please DM us your order details and we will check the transit status directly for you.,Wed Oct 11 11:00:00 +0000 2017,AmazonHelp,my tracking says delivered but i have not received anything for order order number !
100180,@AmazonHelp Tracking status says delivery attempted but nobody buzzed or knocked. Order #902-9748499-6060517.,"Hi there, we're sorry to hear your order #902-9748499-6060517 is delayed! Please send us a DM at amzn.to/help with your details so we can investigate.",Sat Oct 21 13:30:00 +0000 2017,AmazonHelp,tracking status says delivery attempted but nobody buzzed or knocked. order order number .
100182,@AmazonHelp Your support agent was extremely rude and unhelpful. Disgraceful treatment of a 10-year customer.,This is definitely not the experience we want for our customers. Please reach out in DM with your contact information so an escalation manager can connect with you.,Sat Oct 28 22:18:00 +0000 2017,AmazonHelp,your support agent was extremely rude and unhelpful. disgraceful treatment of a 10-year customer.
100184,@AmazonHelp Can someone check on order #818-2919549-4607488? It's a birthday gift and now it's late.,So sorry for the delay on #818-2919549-4607488! Please DM us your order details and we will check the transit status directly for you.,Thu Oct 05 16:52:00 +0000 2017,AmazonHelp,can someone check on order order number ? it's a birthday gift and now it's late.
100186,@AmazonHelp Please cancel my order #781-5276341-7279729 and process a full refund immediately.,Apologies for the inconvenience! Please DM us your account details so we can check on return #781-5276341-7279729 and expedite your refund.,Wed Oct 18 08:02:00 +0000 2017,AmazonHelp,please cancel my order order number and process a full refund immediately.
